agreement_type,agreement_type_issue,claimant_description,defendant_descripion,cicumstance_invoked_code,circumstance_invoked,first_resolution_code,first_resolution,second_resolution_code,second_resolution
"08 Contract of service - legal, tax, technical
Advice",Seller of service has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,6_02_36_unfair_terms which allow a trader to make changes to the product or service to be provided unilaterally and without a valid reason,Terms which allow a trader to make changes to the product or service to be provided unilaterally and without a valid reason,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"08 Contract of service - legal, tax, technical
Advice",Seller of service has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,"6_02_36_unfair_terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed","Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed",7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"08 Contract of service - legal, tax, technical
Advice",Seller of service has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,6_02_36_unfair_terms which allow the trader to transfer the contract without the consumer's consent and which may give the consumer a worse deal,Terms which allow the trader to transfer the contract without the consumer's consent and which may give the consumer a worse deal,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"08 Contract of service - legal, tax, technical
Advice",Seller of service has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,6_02_36_unfair_terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract,Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"09 Contract of service - hotel, restaurant",Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning service
The trader should inform you that you have to pay the costs of returning the service. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.",,6_02_30_non_payment_reimbursement_price_of_service,Non reimbursement - price of service,7_1_cancellation,I want to get a refund of difference,,
"09 Contract of service - hotel, restaurant",Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning service
The trader should inform you that you have to pay the costs of returning the service. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.",,6_02_30_non_payment_reimbursment_shipping_charges,Non reimbursement - shipping charges,7_1_cancellation,I want to get a refund of difference,,
"09 Contract of service - hotel, restaurant",Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning service
The trader should inform you that you have to pay the costs of returning the service. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.",,6_02_30_non_payment_reimbursment_shipping_charges_price_service,Non reimbursement - shipping charges and price of service,7_1_cancellation,I want to get a refund of difference,,
"09 Contract of service - hotel, restaurant",Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning service
The trader should inform you that you have to pay the costs of returning the service. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.",,6_02_30_non_payment_reimbursment_other_charges,Non reimbursement - other charges,7_1_cancellation,I want to get a refund of difference,,
"09 Contract of service - hotel, restaurant",Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning service
The trader should inform you that you have to pay the costs of returning the service. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.",,6_02_31_insufficient_reimbursment_price_of_service,Insufficient reimbursement - price of service,7_1_cancellation,I want to get a refund of difference,,
"09 Contract of service - hotel, restaurant",Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning service
The trader should inform you that you have to pay the costs of returning the service. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.",,6_02_31_insufficient_reimbursment_shipping_charges,Insufficient reimbursement -shipping charges,7_1_cancellation,I want to get a refund of difference,,
"09 Contract of service - hotel, restaurant",Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning service
The trader should inform you that you have to pay the costs of returning the service. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.",,6_02_31_insufficient_reimbursment_shipping_charges_price_of_service,Insufficient reimbursement -shipping charges and price of service,7_1_cancellation,I want to get a refund of difference,,
"09 Contract of service - hotel, restaurant",Cancellation,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning service
The trader should inform you that you have to pay the costs of returning the service. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.",,6_02_31_insufficient_reimbursment_other_charges,Insufficient reimbursement - other charges,7_1_cancellation,I want to get a refund of difference,,
"09 Contract of service - hotel, restaurant",Service is not as expected or what you paid for,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning service
The trader should inform you that you have to pay the costs of returning the service. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.",,6_02_35_service_not_conform_order,Service not in conformity with the order,7_2_demand_repair_replacement_faulty_good,I want to demand repair or replacement,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want a reduction of purchase price
"09 Contract of service - hotel, restaurant",Service is not as expected or what you paid for,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning service
The trader should inform you that you have to pay the costs of returning the service. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.",,6_02_35_service_not_conform_order,Service not in conformity with the order,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want a reduction of purchase price,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase
"09 Contract of service - hotel, restaurant",Service is not as expected or what you paid for,"14 day refund
In the EU you have the right to return a purchase within 14 days for a full refund. You can do so for any reason – even if you simply changed your mind.

The trader must give you a refund within 14 days from receipt of your cancellation.

This refund must include any shipping charges you paid when you made your purchase. However, the trader may charge you additional delivery costs if you specifically requested non-standard (express) delivery.

Costs of returning service
The trader should inform you that you have to pay the costs of returning the service. If they fail do so, they will have to bear the cost. You do not have to pay any other charges that you were not informed about.",,6_02_35_service_not_conform_order,Service not in conformity with the order,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase,7_1_demand_repair_replacement_faulty_service_damaged,If its impossible for seller to repair or redeliver I want to cancel purchase
"09 Contract of service - hotel, restaurant","Total price not given before purchase, price discrimnation, surcharge fees for credit cards","	
Total price of purchase :
When you make a purchase, you have to be clearly informed about the total price of the purchase as well as delivery inclusive of all taxes and additional charges.

Charges for additional services
You must give your consent to any additional payment requested by the trader, for example express delivery, gift wrapping or travel insurance.

A trader is not permitted to charge you for these services unless you explicitly opted for them.

Using a pre-ticked box on the traders website does not constitute such consent and you would be entitled to reimbursement of any payment which has been collected in such a way.

Surcharges : fees for the use of cards and other means of payment
If a trader wishes to surcharge you for using a specific means of payment - for instance a credit card - then the fee cannot be higher than what it actually costs him to process your payment. In some countries such surcharges may be banned altogether.

Price discrimination:
As EU national you cannot be charged a higher price when buying products because of your nationality or country of residence.Some price differences can however be justified, if they are based on objective criteria other than nationality.",,6_02_36_other_pricing_payment_surcharge_payment_card,"Surcharge fees for the use of cards, other means of payment",7_1_issue_with_pricing_payments,I want to get a refund,,
"09 Contract of service - hotel, restaurant","Total price not given before purchase, price discrimnation, surcharge fees for credit cards","	
Total price of purchase :
When you make a purchase, you have to be clearly informed about the total price of the purchase as well as delivery inclusive of all taxes and additional charges.

Charges for additional services
You must give your consent to any additional payment requested by the trader, for example express delivery, gift wrapping or travel insurance.

A trader is not permitted to charge you for these services unless you explicitly opted for them.

Using a pre-ticked box on the traders website does not constitute such consent and you would be entitled to reimbursement of any payment which has been collected in such a way.

Surcharges : fees for the use of cards and other means of payment
If a trader wishes to surcharge you for using a specific means of payment - for instance a credit card - then the fee cannot be higher than what it actually costs him to process your payment. In some countries such surcharges may be banned altogether.

Price discrimination:
As EU national you cannot be charged a higher price when buying products because of your nationality or country of residence.Some price differences can however be justified, if they are based on objective criteria other than nationality.",,6_02_36_other_specify_pricing_payment_additional_services,Charges for additional services,7_1_issue_with_pricing_payments,I want to get a refund,,
"09 Contract of service - hotel, restaurant","Total price not given before purchase, price discrimnation, surcharge fees for credit cards","	
Total price of purchase :
When you make a purchase, you have to be clearly informed about the total price of the purchase as well as delivery inclusive of all taxes and additional charges.

Charges for additional services
You must give your consent to any additional payment requested by the trader, for example express delivery, gift wrapping or travel insurance.

A trader is not permitted to charge you for these services unless you explicitly opted for them.

Using a pre-ticked box on the traders website does not constitute such consent and you would be entitled to reimbursement of any payment which has been collected in such a way.

Surcharges : fees for the use of cards and other means of payment
If a trader wishes to surcharge you for using a specific means of payment - for instance a credit card - then the fee cannot be higher than what it actually costs him to process your payment. In some countries such surcharges may be banned altogether.

Price discrimination:
As EU national you cannot be charged a higher price when buying products because of your nationality or country of residence.Some price differences can however be justified, if they are based on objective criteria other than nationality.",,6_02_36_other_pricing_payment_discrimination,Price discrimination,7_1_issue_with_pricing_payments,I want to get a refund,,
"09 Contract of service - hotel, restaurant","Total price not given before purchase, price discrimnation, surcharge fees for credit cards","	
Total price of purchase :
When you make a purchase, you have to be clearly informed about the total price of the purchase as well as delivery inclusive of all taxes and additional charges.

Charges for additional services
You must give your consent to any additional payment requested by the trader, for example express delivery, gift wrapping or travel insurance.

A trader is not permitted to charge you for these services unless you explicitly opted for them.

Using a pre-ticked box on the traders website does not constitute such consent and you would be entitled to reimbursement of any payment which has been collected in such a way.

Surcharges : fees for the use of cards and other means of payment
If a trader wishes to surcharge you for using a specific means of payment - for instance a credit card - then the fee cannot be higher than what it actually costs him to process your payment. In some countries such surcharges may be banned altogether.

Price discrimination:
As EU national you cannot be charged a higher price when buying products because of your nationality or country of residence.Some price differences can however be justified, if they are based on objective criteria other than nationality.",,6_02_36_other_pricing_payments_service_price_lacking,Total price not given before purchase,7_1_issue_with_pricing_payments,I want to get a refund,,
"09 Contract of service - hotel, restaurant",Service has not been delivered,"If you do not receive the service within 30 days, or within the mutually agreed period, you must remind the trader giving an additional, reasonable time limit to deliver. For example, if the trader has informed you that delivery is delayed by one week because of problems with his suppliers you should consider giving him an extra week.
If the trader still does not deliver within the extended deadline you are entitled to terminate the contract and be reimbursed as soon as possible.

You do not have to give the trader an extension if he refuses to deliver or when an agreed delivery period is essential, for example, if the service in question are needed for a specific event.",,6_2_33_non_delivery_of_service,Non delivery of service,7_2_issue_with_delivery_extension,I want to give seller 14 extra days to deliver,7_1_issue_with_delivery_cancellation,"Since this purchase has no more value to me because of delay, I want to cancel purchase."
"09 Contract of service - hotel, restaurant",Service has not been delivered,"If you do not receive the service within 30 days, or within the mutually agreed period, you must remind the trader giving an additional, reasonable time limit to deliver. For example, if the trader has informed you that delivery is delayed by one week because of problems with his suppliers you should consider giving him an extra week.
If the trader still does not deliver within the extended deadline you are entitled to terminate the contract and be reimbursed as soon as possible.

You do not have to give the trader an extension if he refuses to deliver or when an agreed delivery period is essential, for example, if the service in question are needed for a specific event.",,6_2_33_non_delivery_of_service,Non delivery of service,7_1_issue_with_delivery_cancellation,"Since this purchase has no more value to me because of delay, I want to cancel purchase.",,
"09 Contract of service - hotel, restaurant",Seller of service has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,6_02_36_unfair_terms_exclusion_consumers_right_to_compensation_if_trader_doesnt_keep_his_side_of_contract,Terms which inappropriately exclude/limit consumers´ rights to compensation if the trader doesn´t keep to his side of the contract,7_2_7_1_issue_with_unfair_contract_terms_term_cancellation,I want to cancel the following term(s),7_2_7_1_issue_with_unfair_contract_terms_term_cancellation,I want to cancel the following term(s)
"09 Contract of service - hotel, restaurant",Seller of service has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,6_02_36_unfair_terms_which_bind_the_consumer_but_allow_traders_to_get_out_of_providing_a_service_just_because_it_doesnt_suit_them,Terms which bind the consumer but allow traders to get out of providing a service just because it doesn´t suit them,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
"09 Contract of service - hotel, restaurant",Seller of service has unfair contract terms and claims these terms for resolution of issue,"Legal explanation : General rule
The standard contract terms used by traders, whether they are called ""terms and conditions"" or are part of a detailed contract that you may actually have to sign, have to be fair.

Under EU law, in order to be fair, standard contract terms may not create an imbalance in the rights and obligations of consumers on the one hand and sellers and suppliers on the other.

Legal explanation : Potentially unfair terms
Besides the general requirement of ""fairness"" and ""balance"", the EU rules contain a list of specific terms that may be judged unfair. If specific terms in a contract are unfair, they are not binding on consumers and the trader may not rely on them.

Terms which inappropriately exclude/limit consumers rights to compensation if the trader doesnt keep to his side of the contract.
Terms which bind the consumer but allow traders to get out of providing a service just because it doesnt suit them.
Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels.
Terms which allow a trader to dissolve a contract unilaterally but where the consumer does not enjoy the same right.
Terms which authorise a trader to terminate a contract with no fixed end-date at short notice, except where absolutely justified.
Terms whereby a consumer has to notify an intention to end such contracts but where the deadline for doing so is unreasonably early.
Terms which bind consumers even though they could not easily have been aware of them before signing the contract.
Terms which allow the trader to alter a contract unilaterally, unless the contract states a valid reason for doing so.
Terms where the trader can fix the final price on delivery or increase it, without giving consumers the option of cancelling the contract if the amount is much higher than initially agreed.
Terms where the trader alone has the right to interpret any clause of the contract and to decide whether the product or service complies with the contract.
Terms under which a trader tries to dodge commitments made by his staff or where such commitments are subject to other conditions.
Terms obliging consumers to fulfil all their obligations when the trader doesnt abide by his.
Terms which restrict how and where consumers can take legal action and obliging them to provide proof which is the responsibility of the other party to the contract.",,6_02_36_unfair_terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels,Terms which allow a trader to keep pre-payments if the consumer cancels the contract without allowing for equivalent compensation to the consumer where the trader cancels,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely,7_2_7_1_issue_with_unfair_contract_terms_contract_cancellation,Since the faulty term(s) is(are) an essential part of the contract I want to cancel the contract entirely
